Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 15Y,97.1,99,100.3,103,101.8,*,103,2ND QUARTILE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 15Y,97.8,99.3,101.1,103,102,*,103.1,3RD QUARTILE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 15Y,97.9,99.8,101.4,103.2,103.6,*,112.2,4TH QUARTILE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 15Y,98,99.7,101.8,103.4,103.4,*,104.6,AVG. PRICE TOP 5 TRADES,FHLMC,01/29/2019
SINGLE FAMILY 15Y,0.7,0.8,0.6,0.4,1,*,3.5,STANDARD DEVIATION,FHLMC,01/29/2019
SINGLE FAMILY 15Y,38008.4,349007.4,118016.9,311413.7,6101.1,*,733.6,VOLUME OF TRADES (000'S),FHLMC,01/29/2019
SINGLE FAMILY 15Y,17,18,50,15,13,*,7,NUMBER OF TRADES,FHLMC,01/29/2019
SINGLE FAMILY 15Y,98.2,0,101.7,102.9,0,0,*,AVERAGE PRICE,GNMA,01/29/2019
SINGLE FAMILY 15Y,98,0,101.7,103.1,0,0,*,WEIGHTED AVG. PRICE,GNMA,01/29/2019
SINGLE FAMILY 15Y,98.2,0,101.6,102.9,0,0,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/29/2019
SINGLE FAMILY 15Y,*,0,101.7,*,0,0,*,2ND QUARTILE PRICE,GNMA,01/29/2019
SINGLE FAMILY 15Y,*,0,101.8,*,0,0,*,3RD QUARTILE PRICE,GNMA,01/29/2019
SINGLE FAMILY 15Y,*,0,101.8,*,0,0,*,4TH QUARTILE PRICE,GNMA,01/29/2019
SINGLE FAMILY 15Y,98.2,0,101.7,102.9,0,0,*,AVG. PRICE TOP 5 TRADES,GNMA,01/29/2019
SINGLE FAMILY 15Y,0.2,0,0.2,0.8,0,0,*,STANDARD DEVIATION,GNMA,01/29/2019
SINGLE FAMILY 15Y,15942.5,0,14791.3,79.1,0,0,*,VOLUME OF TRADES (000'S),GNMA,01/29/2019
SINGLE FAMILY 15Y,5,0,8,5,0,0,*,NUMBER OF TRADES,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,97.6,99.7,101.8,103.7,105.9,107.8,AVERAGE PRICE,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,98.1,100.3,102.3,103.8,106.8,108.5,WEIGHTED AVG. PRICE,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,96.3,97.9,97.3,91.5,96.5,92.4,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,97.3,99.7,101.6,103.4,106.1,108.6,2ND QUARTILE PRICE,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,97.4,99.8,101.9,103.7,106.1,108.7,3RD QUARTILE PRICE,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,97.6,100,102.3,104.8,106.8,108.7,4TH QUARTILE PRICE,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,99.5,101.4,104.2,105.6,107,112,AVG. PRICE TOP 5 TRADES,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,0.8,0.6,1.2,2.2,1.8,3.2,STANDARD DEVIATION,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,135285.2,529797.5,1063178.6,1182523.7,535673.8,48620.4,VOLUME OF TRADES (000'S),FNMA,01/29/2019
SINGLE FAMILY 30Y,*,164,272,329,461,369,563,NUMBER OF TRADES,FNMA,01/29/2019
SINGLE FAMILY 30Y,*,97.3,99.7,101.4,103.2,104.7,108,AVERAGE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,98.5,100.2,102.5,105.2,105.3,109.5,WEIGHTED AVG. PRICE,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,96,97.7,94.6,100.2,103.1,90.9,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,97.3,99.7,101.3,103.3,104.6,108.6,2ND QUARTILE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,97.4,99.7,101.5,103.3,105,108.7,3RD QUARTILE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,97.5,100.1,102.4,103.7,106.4,108.8,4TH QUARTILE PRICE,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,98.5,101.2,103,105.2,106.7,109.3,AVG. PRICE TOP 5 TRADES,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,0.5,0.6,1.7,1.3,2.1,3.7,STANDARD DEVIATION,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,60374.6,984766.6,755807.4,648516.4,35343.9,35203.2,VOLUME OF TRADES (000'S),FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,97,181,185,82,22,246,NUMBER OF TRADES,FHLMC,01/29/2019
SINGLE FAMILY 30Y,*,98.2,98.7,101.8,103.8,103.1,104.5,AVERAGE PRICE,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,98.6,100.7,102.7,103.5,104.6,105.4,WEIGHTED AVG. PRICE,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,95.3,95.1,95.9,101.4,97.2,82.6,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,97.7,97.5,102.3,103.5,102.5,100,2ND QUARTILE PRICE,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,98.7,99,102.5,103.6,104.3,105.8,3RD QUARTILE PRICE,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,98.8,100.7,103.3,104.5,105.4,108.5,4TH QUARTILE PRICE,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,99.4,101.2,104.7,105.8,107.3,114.5,AVG. PRICE TOP 5 TRADES,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,1.4,2.1,3.4,1.4,3.6,5.9,STANDARD DEVIATION,GNMA,01/29/2019
SINGLE FAMILY 30Y,*,109320.5,55266.8,22280.3,279008.3,166313.4,105224.5,VOLUME OF TRADES (000'S),GNMA,01/29/2019
SINGLE FAMILY 30Y,*,39,39,34,49,86,487,NUMBER OF TRADES,GNMA,01/29/2019
SINGLE FAMILY 15Y,98,98.7,100.3,102,101.2,99.9,100.3,AVERAGE PRICE,FNMA,01/30/2019
SINGLE FAMILY 15Y,98.2,99.7,100.6,102.7,102.3,102.7,102.7,WEIGHTED AVG. PRICE,FNMA,01/30/2019
SINGLE FAMILY 15Y,95.5,95.6,95.5,99.2,100.1,99.9,97.9,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/30/2019
SINGLE FAMILY 15Y,97.3,98.3,99.9,101.2,100,*,100,2ND QUARTILE PRICE,FNMA,01/30/2019
SINGLE FAMILY 15Y,98.4,99,100.8,102.7,101,*,103.1,3RD QUARTILE PRICE,FNMA,01/30/2019
SINGLE FAMILY 15Y,98.8,99.4,101.3,102.9,102.8,*,103.2,4TH QUARTILE PRICE,FNMA,01/30/2019
SINGLE FAMILY 15Y,99.4,100.1,101.9,103.8,102.9,99.9,102.3,AVG. PRICE TOP 5 TRADES,FNMA,01/30/2019
SINGLE FAMILY 15Y,1.2,1.2,1.5,1.4,1.3,1.4,3.8,STANDARD DEVIATION,FNMA,01/30/2019
SINGLE FAMILY 15Y,74325.2,95509.9,189495.2,201973.5,2004.8,40.6,83.8,VOLUME OF TRADES (000'S),FNMA,01/30/2019
SINGLE FAMILY 15Y,51,77,106,53,16,7,13,NUMBER OF TRADES,FNMA,01/30/2019
SINGLE FAMILY 15Y,98.4,98.9,101.2,102.7,101.2,100.7,101.1,AVERAGE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 15Y,98.4,99.9,101.6,102.9,103.2,103,103,WEIGHTED AVG. PRICE,FHLMC,01/30/2019
SINGLE FAMILY 15Y,97.9,95.7,96.8,100.6,100.8,100.7,101.1,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/30/2019
SINGLE FAMILY 15Y,98.1,98.5,101.3,102.7,99.7,*,*,2ND QUARTILE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 15Y,98.5,99.5,101.7,103,103,*,*,3RD QUARTILE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 15Y,99.4,100,101.7,103.8,103.4,*,*,4TH QUARTILE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 15Y,98.9,100.3,101.9,103.8,102.1,100.7,101.1,AVG. PRICE TOP 5 TRADES,FHLMC,01/30/2019
SINGLE FAMILY 15Y,0.9,1.9,1.2,1.7,2,1.3,1.6,STANDARD DEVIATION,FHLMC,01/30/2019
SINGLE FAMILY 15Y,14163.1,3758.6,94233,18894.4,3280.7,148.3,33.4,VOLUME OF TRADES (000'S),FHLMC,01/30/2019
SINGLE FAMILY 15Y,8,37,167,24,7,12,12,NUMBER OF TRADES,FHLMC,01/30/2019
SINGLE FAMILY 15Y,*,0,100.3,0,*,0,0,AVERAGE PRICE,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,101.7,0,*,0,0,WEIGHTED AVG. PRICE,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,100.3,0,*,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,*,0,*,0,0,2ND QUARTILE PRICE,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,*,0,*,0,0,3RD QUARTILE PRICE,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,*,0,*,0,0,4TH QUARTILE PRICE,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,100.3,0,*,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,2,0,*,0,0,STANDARD DEVIATION,GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,12416.9,0,*,0,0,VOLUME OF TRADES (000'S),GNMA,01/30/2019
SINGLE FAMILY 15Y,*,0,5,0,*,0,0,NUMBER OF TRADES,GNMA,01/30/2019
SINGLE FAMILY 30Y,*,97.6,99.8,101.7,103.3,105.1,105.3,AVERAGE PRICE,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,98,100.2,102,104.2,105.1,109.2,WEIGHTED AVG. PRICE,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,95.9,97.4,97,99.1,103,86.7,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,97.1,99.3,101.4,103,104.8,105.6,2ND QUARTILE PRICE,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,97.5,100.1,101.8,103.5,105,107.3,3RD QUARTILE PRICE,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,98.4,100.6,102.2,103.8,105,107.3,4TH QUARTILE PRICE,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,99.4,101.1,103.6,105.2,107.1,111.3,AVG. PRICE TOP 5 TRADES,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,1,0.9,1.3,1.3,0.9,4.7,STANDARD DEVIATION,FNMA,01/30/2019
SINGLE FAMILY 30Y,*,133920.6,1073370,2149242.6,1217208.4,692338.3,22478.4,VOLUME OF TRADES (000'S),FNMA,01/30/2019
SINGLE FAMILY 30Y,*,98,183,190,178,125,277,NUMBER OF TRADES,FNMA,01/30/2019
SINGLE FAMILY 30Y,0,97.5,99.7,101.6,103.3,105.3,102,AVERAGE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,97.9,100.2,102.2,103.8,106.5,106.1,WEIGHTED AVG. PRICE,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,96.7,96.4,99.6,101.8,102.8,96.1,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,97,99.9,101.1,103.2,104.2,100,2ND QUARTILE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,97.7,99.9,101.9,103.7,106.2,101.1,3RD QUARTILE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,97.7,100,102,103.8,106.8,105.9,4TH QUARTILE PRICE,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,98.6,101.1,103.1,104.8,106.6,108.7,AVG. PRICE TOP 5 TRADES,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,0.6,1.2,0.8,1.2,2.1,5,STANDARD DEVIATION,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,104377.6,1167478.5,1698740.2,232158.7,25890.9,141423.3,VOLUME OF TRADES (000'S),FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,76,186,145,74,38,43,NUMBER OF TRADES,FHLMC,01/30/2019
SINGLE FAMILY 30Y,0,99,100.9,103,104.1,102.9,102.6,AVERAGE PRICE,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,99.2,100.8,102.5,103.7,104.9,108.9,WEIGHTED AVG. PRICE,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,98,99.3,101.8,102,100,65,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,98.7,100.7,102.5,103.6,101.3,100,2ND QUARTILE PRICE,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,99,101.2,103,104.6,102.3,103.3,3RD QUARTILE PRICE,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,99.5,101.5,103.5,104.9,104.5,108.2,4TH QUARTILE PRICE,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,100.1,101.7,104.7,106,106.8,112.3,AVG. PRICE TOP 5 TRADES,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,1.1,0.9,1,1.3,2.1,9.1,STANDARD DEVIATION,GNMA,01/30/2019
SINGLE FAMILY 30Y,0,11939.9,110384,222409.7,149542.7,75415.3,35787.6,VOLUME OF TRADES (000'S),GNMA,01/30/2019
SINGLE FAMILY 30Y,0,18,32,46,37,48,250,NUMBER OF TRADES,GNMA,01/30/2019
SINGLE FAMILY 15Y,98.5,99.7,100.9,102.1,103.8,102.4,*,AVERAGE PRICE,FNMA,01/31/2019
SINGLE FAMILY 15Y,96.5,100.2,101.2,103.1,104.7,104.5,*,WEIGHTED AVG. PRICE,FNMA,01/31/2019
SINGLE FAMILY 15Y,95.5,98.1,97.9,99.5,101.7,101.3,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/31/2019
SINGLE FAMILY 15Y,98.6,99.8,100.4,101.3,102.8,100,*,2ND QUARTILE PRICE,FNMA,01/31/2019
SINGLE FAMILY 15Y,98.8,99.8,101.3,102.6,103.3,103.9,*,3RD QUARTILE PRICE,FNMA,01/31/2019
SINGLE FAMILY 15Y,98.9,100.1,101.7,103.3,107.2,109.4,*,4TH QUARTILE PRICE,FNMA,01/31/2019
SINGLE FAMILY 15Y,99.1,100.4,102,104.4,106.5,104.2,*,AVG. PRICE TOP 5 TRADES,FNMA,01/31/2019
SINGLE FAMILY 15Y,1,0.6,1.1,1.6,2.3,4.1,*,STANDARD DEVIATION,FNMA,01/31/2019
SINGLE FAMILY 15Y,235661.3,25946.1,413938.8,444568.2,15917.3,898.1,*,VOLUME OF TRADES (000'S),FNMA,01/31/2019
SINGLE FAMILY 15Y,65,68,95,67,15,7,*,NUMBER OF TRADES,FNMA,01/31/2019
SINGLE FAMILY 15Y,97.6,99.1,101.3,103,*,*,0,AVERAGE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 15Y,98.5,100.2,101.9,103.2,*,*,0,WEIGHTED AVG. PRICE,FHLMC,01/31/2019
SINGLE FAMILY 15Y,96.5,98.2,100.2,102.6,*,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/31/2019
SINGLE FAMILY 15Y,97.7,98.7,100.5,103.1,*,*,0,2ND QUARTILE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 15Y,98.4,99.1,101.8,103.2,*,*,0,3RD QUARTILE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 15Y,98.4,100.1,101.9,103.2,*,*,0,4TH QUARTILE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 15Y,98.6,100.2,101.9,103.2,*,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/31/2019
SINGLE FAMILY 15Y,1.2,0.8,0.7,0.8,*,*,0,STANDARD DEVIATION,FHLMC,01/31/2019
SINGLE FAMILY 15Y,67361.3,18641.2,65619.3,128858.8,*,*,0,VOLUME OF TRADES (000'S),FHLMC,01/31/2019
SINGLE FAMILY 15Y,14,29,61,12,*,*,0,NUMBER OF TRADES,FHLMC,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,99.6,*,AVERAGE PRICE,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,100.7,*,WEIGHTED AVG. PRICE,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,98.7,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,99.3,*,2ND QUARTILE PRICE,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,99.8,*,3RD QUARTILE PRICE,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,101,*,4TH QUARTILE PRICE,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,100.5,*,AVG. PRICE TOP 5 TRADES,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,1.3,*,STANDARD DEVIATION,GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,145.1,*,VOLUME OF TRADES (000'S),GNMA,01/31/2019
SINGLE FAMILY 15Y,0,0,0,*,*,12,*,NUMBER OF TRADES,GNMA,01/31/2019
SINGLE FAMILY 30Y,96.1,98.3,100.3,102.4,103.7,103.6,103.6,AVERAGE PRICE,FNMA,01/31/2019
SINGLE FAMILY 30Y,96.4,98.4,100.8,102.6,104.1,105.6,108.2,WEIGHTED AVG. PRICE,FNMA,01/31/2019
SINGLE FAMILY 30Y,95.8,97.1,96.4,99.7,100.3,96.2,95.3,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/31/2019
SINGLE FAMILY 30Y,95.7,97.6,100.4,102.1,103.7,103.7,102,2ND QUARTILE PRICE,FNMA,01/31/2019
SINGLE FAMILY 30Y,96.4,98.3,100.4,102.4,103.8,104.5,105.1,3RD QUARTILE PRICE,FNMA,01/31/2019
SINGLE FAMILY 30Y,96.5,99,100.6,103,104.1,105.3,105.9,4TH QUARTILE PRICE,FNMA,01/31/2019
SINGLE FAMILY 30Y,96.5,99,101.9,104.8,105.8,107,110.1,AVG. PRICE TOP 5 TRADES,FNMA,01/31/2019
SINGLE FAMILY 30Y,0.6,0.6,0.9,0.9,1,4.1,5,STANDARD DEVIATION,FNMA,01/31/2019
SINGLE FAMILY 30Y,347377.3,403778.8,948628.8,1162705.8,1565305.1,319606.4,23479,VOLUME OF TRADES (000'S),FNMA,01/31/2019
SINGLE FAMILY 30Y,12,131,227,297,251,49,80,NUMBER OF TRADES,FNMA,01/31/2019
SINGLE FAMILY 30Y,96.3,98.3,100.3,102.3,104,104.7,102.8,AVERAGE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 30Y,96.5,98.6,100.6,102.5,104.6,105.7,108.5,WEIGHTED AVG. PRICE,FHLMC,01/31/2019
SINGLE FAMILY 30Y,96.2,96.8,98.9,101.2,102.2,102.9,94.2,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/31/2019
SINGLE FAMILY 30Y,96.4,98,100.3,102,103.9,104.2,100,2ND QUARTILE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 30Y,96.6,98.3,100.3,102.3,104,105,102,3RD QUARTILE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 30Y,96.7,98.8,100.5,102.6,104.4,105.7,107.5,4TH QUARTILE PRICE,FHLMC,01/31/2019
SINGLE FAMILY 30Y,96.4,99.4,101.6,103.4,105.6,106.4,112.1,AVG. PRICE TOP 5 TRADES,FHLMC,01/31/2019
SINGLE FAMILY 30Y,0.4,0.6,0.6,0.5,0.8,1.5,8,STANDARD DEVIATION,FHLMC,01/31/2019
SINGLE FAMILY 30Y,71095.6,277748.7,844280.1,957797.2,284607.1,14855.9,2440.1,VOLUME OF TRADES (000'S),FHLMC,01/31/2019
SINGLE FAMILY 30Y,6,108,129,110,99,23,33,NUMBER OF TRADES,FHLMC,01/31/2019
SINGLE FAMILY 30Y,*,98.1,101.3,103.3,104.3,104.2,103.9,AVERAGE PRICE,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,99.3,101.2,102.9,104,104.5,105.4,WEIGHTED AVG. PRICE,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,94.3,100.9,102.1,100.7,98.6,79.9,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,97.3,101.2,103,103.8,103.8,101,2ND QUARTILE PRICE,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,99.1,101.4,103.4,104.6,104.6,105.8,3RD QUARTILE PRICE,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,99.3,101.4,103.6,104.9,105.8,109.2,4TH QUARTILE PRICE,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,99.5,101.5,103.6,106.1,107.1,111.5,AVG. PRICE TOP 5 TRADES,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,1.9,0.4,0.5,1.3,2.2,6.8,STANDARD DEVIATION,GNMA,01/31/2019
SINGLE FAMILY 30Y,*,862412.6,101607.7,1262467.3,2059513.1,764077,61327.7,VOLUME OF TRADES (000'S),GNMA,01/31/2019
SINGLE FAMILY 30Y,*,40,19,82,101,78,237,NUMBER OF TRADES,GNMA,01/31/2019
SINGLE FAMILY 15Y,98,99.5,100.6,102.4,102,99.6,100.3,AVERAGE PRICE,FNMA,02/01/2019
SINGLE FAMILY 15Y,97.7,99.5,100.9,102.9,102.5,101.3,101.4,WEIGHTED AVG. PRICE,FNMA,02/01/2019
SINGLE FAMILY 15Y,96.1,97.8,96.8,101,99.5,99.6,100.3,AVG. PRICE BOTTOM 5 TRADES,FNMA,02/01/2019
SINGLE FAMILY 15Y,97.5,99.2,100.1,101.8,102.1,*,*,2ND QUARTILE PRICE,FNMA,02/01/2019
SINGLE FAMILY 15Y,98.5,99.8,101,102.7,102.3,*,*,3RD QUARTILE PRICE,FNMA,02/01/2019
SINGLE FAMILY 15Y,98.7,100.1,101.6,103,103,*,*,4TH QUARTILE PRICE,FNMA,02/01/2019
SINGLE FAMILY 15Y,99.1,100.3,102.1,103.3,103.3,99.6,100.3,AVG. PRICE TOP 5 TRADES,FNMA,02/01/2019
SINGLE FAMILY 15Y,1.1,0.8,1.3,0.8,1.3,1.6,0.7,STANDARD DEVIATION,FNMA,02/01/2019
SINGLE FAMILY 15Y,15779.9,275671.3,164076.6,406633,1385.6,67.9,24.7,VOLUME OF TRADES (000'S),FNMA,02/01/2019
SINGLE FAMILY 15Y,27,47,101,80,28,6,5,NUMBER OF TRADES,FNMA,02/01/2019
SINGLE FAMILY 15Y,98.5,99.8,101.3,102.5,101.9,99.9,*,AVERAGE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 15Y,98.7,100,101.6,103,102.2,99.9,*,WEIGHTED AVG. PRICE,FHLMC,02/01/2019
SINGLE FAMILY 15Y,98,99.2,101.1,101.9,101.7,99.9,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,02/01/2019
SINGLE FAMILY 15Y,98.3,99.8,101.5,102.3,102.3,*,*,2ND QUARTILE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 15Y,98.6,99.9,101.6,102.8,102.3,*,*,3RD QUARTILE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 15Y,98.7,100.1,101.7,103,102.3,*,*,4TH QUARTILE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 15Y,98.9,100.4,101.7,103,102.3,99.9,*,AVG. PRICE TOP 5 TRADES,FHLMC,02/01/2019
SINGLE FAMILY 15Y,0.6,0.5,0.6,0.6,1.1,0.1,*,STANDARD DEVIATION,FHLMC,02/01/2019
SINGLE FAMILY 15Y,23933.4,68422.2,53644.3,24542.8,499.8,104.7,*,VOLUME OF TRADES (000'S),FHLMC,02/01/2019
SINGLE FAMILY 15Y,19,28,24,15,13,7,*,NUMBER OF TRADES,FHLMC,02/01/2019
SINGLE FAMILY 15Y,*,0,100.8,102.3,102,*,0,AVERAGE PRICE,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,101.6,102.6,102.3,*,0,WEIGHTED AVG. PRICE,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,100.8,102,101.7,*,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,*,102.3,102.2,*,0,2ND QUARTILE PRICE,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,*,102.8,102.3,*,0,3RD QUARTILE PRICE,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,*,103,102.6,*,0,4TH QUARTILE PRICE,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,100.8,102.7,102.4,*,0,AVG. PRICE TOP 5 TRADES,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,0.6,0.8,0.7,*,0,STANDARD DEVIATION,GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,928.6,8708.8,867.1,*,0,VOLUME OF TRADES (000'S),GNMA,02/01/2019
SINGLE FAMILY 15Y,*,0,6,7,10,*,0,NUMBER OF TRADES,GNMA,02/01/2019
SINGLE FAMILY 30Y,*,97.9,100.1,102.3,103.9,104.7,102.9,AVERAGE PRICE,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,97.5,100.3,102.6,103.9,105.2,107.8,WEIGHTED AVG. PRICE,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,96.8,99.3,100.9,101.7,101.2,87.9,AVG. PRICE BOTTOM 5 TRADES,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,97.3,99.9,101.8,103.6,104.2,100,2ND QUARTILE PRICE,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,97.9,99.9,102.3,103.6,105.1,105,3RD QUARTILE PRICE,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,98.4,100.3,102.8,104.7,105.1,106.1,4TH QUARTILE PRICE,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,99,101.7,103.5,105.1,107.6,111.4,AVG. PRICE TOP 5 TRADES,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,0.6,0.6,0.6,0.8,1.6,6.4,STANDARD DEVIATION,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,222961.6,674090.4,1143784.9,375339.9,532518.2,4456.6,VOLUME OF TRADES (000'S),FNMA,02/01/2019
SINGLE FAMILY 30Y,*,186,144,222,177,99,62,NUMBER OF TRADES,FNMA,02/01/2019
SINGLE FAMILY 30Y,*,97.8,99.9,102,103.7,105.4,104,AVERAGE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 30Y,*,98.1,100.3,102.3,104,106,109.6,WEIGHTED AVG. PRICE,FHLMC,02/01/2019
SINGLE FAMILY 30Y,*,97,99.3,100.9,103.3,104.1,98.7,AVG. PRICE BOTTOM 5 TRADES,FHLMC,02/01/2019
SINGLE FAMILY 30Y,*,97.6,99.7,101.7,103,104.8,102.3,2ND QUARTILE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 30Y,*,97.8,99.7,101.7,103.6,106.4,104.4,3RD QUARTILE PRICE,FHLMC,02/01/2019
SINGLE FAMILY 30Y,*,98,100.2,102.7,104.4,106.4,107,4TH QUARTILE PRICE,FHLMC,02/01/2019
