Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 30Y,29466.2,117099.7,217903.3,565955.3,491827.2,26919.2,49107.5,VOLUME OF TRADES (000'S),FHLMC,01/02/2019
SINGLE FAMILY 30Y,5,56,99,105,126,16,30,NUMBER OF TRADES,FHLMC,01/02/2019
SINGLE FAMILY 30Y,*,98.9,100.3,102.3,103.5,104.3,103.3,AVERAGE PRICE,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,98.6,100.7,102.4,103.5,104.7,105.3,WEIGHTED AVG. PRICE,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,98.5,98.3,101.2,101.3,101,89.8,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,98.6,99.6,102.4,103.5,103,101,2ND QUARTILE PRICE,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,98.6,100.7,102.4,103.5,104.3,105,3RD QUARTILE PRICE,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,98.7,100.8,102.5,103.8,105.7,107.6,4TH QUARTILE PRICE,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,99.4,101.9,103,104.8,107.5,110.5,AVG. PRICE TOP 5 TRADES,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,0.8,1.3,0.7,0.8,1.7,6.4,STANDARD DEVIATION,GNMA,01/02/2019
SINGLE FAMILY 30Y,*,449822.6,54733.8,385566.6,2555750.8,810511.7,44232.7,VOLUME OF TRADES (000'S),GNMA,01/02/2019
SINGLE FAMILY 30Y,*,17,28,45,77,123,225,NUMBER OF TRADES,GNMA,01/02/2019
SINGLE FAMILY 15Y,98.1,99.6,99.8,102.4,101.8,94.1,*,AVERAGE PRICE,FNMA,01/03/2019
SINGLE FAMILY 15Y,98,100.4,101.5,104,103,105.6,*,WEIGHTED AVG. PRICE,FNMA,01/03/2019
SINGLE FAMILY 15Y,96.3,98.3,92.6,98.3,100.7,90.2,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/03/2019
SINGLE FAMILY 15Y,97.9,99,99.2,101.9,101.7,85.8,*,2ND QUARTILE PRICE,FNMA,01/03/2019
SINGLE FAMILY 15Y,98.3,99.7,100.3,102.7,102.7,91,*,3RD QUARTILE PRICE,FNMA,01/03/2019
SINGLE FAMILY 15Y,98.6,100.2,101.4,104,102.7,105.6,*,4TH QUARTILE PRICE,FNMA,01/03/2019
SINGLE FAMILY 15Y,99,100.4,101.8,104.9,102.9,99.1,*,AVG. PRICE TOP 5 TRADES,FNMA,01/03/2019
SINGLE FAMILY 15Y,1,0.7,2.6,2.4,1.9,8.9,*,STANDARD DEVIATION,FNMA,01/03/2019
SINGLE FAMILY 15Y,114598.1,204501.1,597860.8,1062663.8,2631.9,13256.1,*,VOLUME OF TRADES (000'S),FNMA,01/03/2019
SINGLE FAMILY 15Y,29,61,81,71,12,8,*,NUMBER OF TRADES,FNMA,01/03/2019
SINGLE FAMILY 15Y,98.3,99.3,100.2,101.5,*,*,101.4,AVERAGE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 15Y,98.4,99.9,101.7,102.7,*,*,102.7,WEIGHTED AVG. PRICE,FHLMC,01/03/2019
SINGLE FAMILY 15Y,97.6,98.7,97.2,99.1,*,*,101.1,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/03/2019
SINGLE FAMILY 15Y,98.2,98.8,100.3,100,*,*,100.2,2ND QUARTILE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 15Y,98.4,99.6,100.4,102.5,*,*,103,3RD QUARTILE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 15Y,98.5,100,100.5,103,*,*,103.6,4TH QUARTILE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 15Y,98.9,100.2,101.7,102.9,*,*,102.6,AVG. PRICE TOP 5 TRADES,FHLMC,01/03/2019
SINGLE FAMILY 15Y,0.5,0.7,1.6,1.9,*,*,2.5,STANDARD DEVIATION,FHLMC,01/03/2019
SINGLE FAMILY 15Y,15502.8,534290.6,196444.6,69712.8,*,*,135.9,VOLUME OF TRADES (000'S),FHLMC,01/03/2019
SINGLE FAMILY 15Y,23,35,46,20,*,*,8,NUMBER OF TRADES,FHLMC,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,AVERAGE PRICE,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,WEIGHTED AVG. PRICE,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,2ND QUARTILE PRICE,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,3RD QUARTILE PRICE,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,4TH QUARTILE PRICE,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,AVG. PRICE TOP 5 TRADES,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,STANDARD DEVIATION,GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,VOLUME OF TRADES (000'S),GNMA,01/03/2019
SINGLE FAMILY 15Y,0,0,*,*,0,0,*,NUMBER OF TRADES,GNMA,01/03/2019
SINGLE FAMILY 30Y,0,97.7,100.1,101.8,103.6,105,100.3,AVERAGE PRICE,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,98.4,100.7,102.6,104.7,106.6,108.4,WEIGHTED AVG. PRICE,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,95.7,96.8,99,99.9,99.1,85.6,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,97.1,99.9,101.2,103.1,104.3,98,2ND QUARTILE PRICE,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,97.8,100.3,102.1,103.7,105,101.6,3RD QUARTILE PRICE,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,98.3,100.6,102.4,104.2,106.9,105,4TH QUARTILE PRICE,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,99.5,101.2,103.4,105.9,107.9,109.6,AVG. PRICE TOP 5 TRADES,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,1,0.8,1,1.3,2.4,6.6,STANDARD DEVIATION,FNMA,01/03/2019
SINGLE FAMILY 30Y,0,58048.9,711092.4,1822093.5,3109300.5,1135816.1,64399.4,VOLUME OF TRADES (000'S),FNMA,01/03/2019
SINGLE FAMILY 30Y,0,89,271,231,183,60,102,NUMBER OF TRADES,FNMA,01/03/2019
SINGLE FAMILY 30Y,*,97.4,100.1,101.8,103.4,104.7,99.5,AVERAGE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,98.4,100.7,102.9,104,105.8,108.5,WEIGHTED AVG. PRICE,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,95.3,96.7,99.9,99.3,103.1,88.6,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,97,100,101.4,103.5,103.6,98.5,2ND QUARTILE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,97.7,100.3,101.9,103.8,104.9,101.1,3RD QUARTILE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,98.1,100.6,102.3,103.9,105.9,106.2,4TH QUARTILE PRICE,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,98.8,101.2,103.3,105.1,106.2,108.9,AVG. PRICE TOP 5 TRADES,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,1,0.9,1,1.4,1.4,9.5,STANDARD DEVIATION,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,35599.1,196350.9,624854.8,911895,18272.4,85.8,VOLUME OF TRADES (000'S),FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,78,195,144,68,26,19,NUMBER OF TRADES,FHLMC,01/03/2019
SINGLE FAMILY 30Y,*,99.2,101,102.2,103.7,104.3,103.7,AVERAGE PRICE,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,99,101.2,102.7,103.8,104.5,105.5,WEIGHTED AVG. PRICE,GNMA,01/03/2019
