AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
CBO/CDO/CLO,CBO/CDO/CLO,75,45,331433.2,39,26,275024.8,4/12/2019
OTHER,OTHER,*,*,*,*,*,*,4/12/2019
NON-AGENCY CMO,P&I,60,31,113370,274,182,194694.1,4/15/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,4/15/2019
NON-AGENCY CMBS,P&I,180,136,423864.7,45,24,201480.7,4/15/2019
NON-AGENCY CMBS,IO/PO,8,5,401068,*,*,*,4/15/2019
AGENCY CMBS,P&I,34,28,19736.8,63,29,453415.5,4/15/2019
AGENCY CMBS,IO/PO,0,0,0,8,4,591261.4,4/15/2019
AGENCY CMBS,ABS,383,251,784049.5,29,24,40766.3,4/15/2019
CBO/CDO/CLO,CBO/CDO/CLO,32,23,178709.6,25,17,61961.7,4/15/2019
OTHER,OTHER,0,0,0,0,0,0,4/15/2019
NON-AGENCY CMO,P&I,83,40,109236.7,520,291,453504.4,4/16/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,4/16/2019
NON-AGENCY CMBS,P&I,211,138,712999.5,43,25,175837.5,4/16/2019
NON-AGENCY CMBS,IO/PO,8,6,212621.7,*,*,*,4/16/2019
AGENCY CMBS,P&I,77,36,517791.6,77,35,516777.9,4/16/2019
AGENCY CMBS,IO/PO,0,0,0,8,5,485356.9,4/16/2019
AGENCY CMBS,ABS,503,339,1181049.9,81,49,284911.2,4/16/2019
CBO/CDO/CLO,CBO/CDO/CLO,114,61,547780.8,45,29,114453.9,4/16/2019
OTHER,OTHER,*,*,*,*,*,*,4/16/2019
NON-AGENCY CMO,P&I,58,32,172807.8,360,153,648648.9,4/17/2019
NON-AGENCY CMO,IO/PO,0,0,0,14,4,7593.4,4/17/2019
NON-AGENCY CMBS,P&I,178,127,675093.8,51,31,196464.5,4/17/2019
NON-AGENCY CMBS,IO/PO,6,3,319626,*,*,*,4/17/2019
AGENCY CMBS,P&I,51,34,297025.5,84,40,761969.7,4/17/2019
AGENCY CMBS,IO/PO,0,0,0,7,5,210180.1,4/17/2019
AGENCY CMBS,ABS,399,291,749498.9,44,37,140522.8,4/17/2019
CBO/CDO/CLO,CBO/CDO/CLO,99,74,608139.6,37,25,129143.7,4/17/2019
OTHER,OTHER,0,0,0,0,0,0,4/17/2019
NON-AGENCY CMO,P&I,32,16,37939.6,122,69,37646.9,4/18/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,4/18/2019
NON-AGENCY CMBS,P&I,92,67,269761.8,27,14,89707.1,4/18/2019
NON-AGENCY CMBS,IO/PO,6,2,35100,*,*,*,4/18/2019
AGENCY CMBS,P&I,42,27,49765.3,72,34,242418.8,4/18/2019
AGENCY CMBS,IO/PO,0,0,0,5,4,1498277.7,4/18/2019
AGENCY CMBS,ABS,192,153,455580.3,26,18,67848.2,4/18/2019
CBO/CDO/CLO,CBO/CDO/CLO,22,18,73995,17,14,58684.3,4/18/2019
OTHER,OTHER,0,0,0,0,0,0,4/18/2019
NON-AGENCY CMO,P&I,52,30,96883.2,231,127,143718.6,4/22/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,4/22/2019
NON-AGENCY CMBS,P&I,108,82,268536.3,9,5,31061,4/22/2019
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,4/22/2019
AGENCY CMBS,P&I,54,34,606138.5,86,52,627992.5,4/22/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,4/22/2019
AGENCY CMBS,ABS,336,228,637491.2,29,16,55576,4/22/2019
CBO/CDO/CLO,CBO/CDO/CLO,55,42,217730.6,26,17,65050,4/22/2019
OTHER,OTHER,0,0,0,0,0,0,4/22/2019
NON-AGENCY CMO,P&I,105,52,218182.6,327,177,351166.1,4/23/2019
NON-AGENCY CMO,IO/PO,0,0,0,5,3,47371.6,4/23/2019
NON-AGENCY CMBS,P&I,163,128,477089.5,59,34,293794.7,4/23/2019
NON-AGENCY CMBS,IO/PO,13,7,455827.6,0,0,0,4/23/2019
AGENCY CMBS,P&I,87,46,176671.7,86,42,167165,4/23/2019
AGENCY CMBS,IO/PO,0,0,0,10,4,1402750,4/23/2019
AGENCY CMBS,ABS,391,283,756672.6,53,33,147935.5,4/23/2019
CBO/CDO/CLO,CBO/CDO/CLO,102,66,529621.5,43,27,160573.1,4/23/2019
OTHER,OTHER,0,0,0,0,0,0,4/23/2019
NON-AGENCY CMO,P&I,69,43,157043.4,310,152,218987,4/24/2019
NON-AGENCY CMO,IO/PO,0,0,0,15,6,466032.8,4/24/2019
NON-AGENCY CMBS,P&I,223,152,602161.2,28,20,112201.1,4/24/2019
NON-AGENCY CMBS,IO/PO,5,4,61716.5,0,0,0,4/24/2019
AGENCY CMBS,P&I,90,46,246765,99,43,954789.9,4/24/2019
AGENCY CMBS,IO/PO,0,0,0,7,5,263812.2,4/24/2019
AGENCY CMBS,ABS,368,248,770504,41,30,60666.1,4/24/2019
CBO/CDO/CLO,CBO/CDO/CLO,69,48,290788.2,49,30,241377.9,4/24/2019
OTHER,OTHER,0,0,0,0,0,0,4/24/2019
NON-AGENCY CMO,P&I,66,41,142832.8,336,160,118664.7,4/25/2019
NON-AGENCY CMO,IO/PO,0,0,0,29,3,1528666,4/25/2019
NON-AGENCY CMBS,P&I,208,155,741590.2,28,17,213244.8,4/25/2019
NON-AGENCY CMBS,IO/PO,7,5,339340.1,*,*,*,4/25/2019
AGENCY CMBS,P&I,77,42,169717.9,87,57,409032,4/25/2019
AGENCY CMBS,IO/PO,0,0,0,18,7,275517.7,4/25/2019
AGENCY CMBS,ABS,371,246,797284.6,70,46,262280.8,4/25/2019
CBO/CDO/CLO,CBO/CDO/CLO,111,74,435072.8,89,49,745314.7,4/25/2019
OTHER,OTHER,*,*,*,0,0,0,4/25/2019
NON-AGENCY CMO,P&I,92,56,104304.9,430,229,145695.4,4/26/2019
NON-AGENCY CMO,IO/PO,0,0,0,5,2,1433,4/26/2019
NON-AGENCY CMBS,P&I,154,109,440858.5,44,20,190875.5,4/26/2019
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,4/26/2019
AGENCY CMBS,P&I,54,37,248503.4,68,42,130732.6,4/26/2019
AGENCY CMBS,IO/PO,*,*,*,9,6,567801,4/26/2019
AGENCY CMBS,ABS,282,195,1185519.5,35,32,54180,4/26/2019
CBO/CDO/CLO,CBO/CDO/CLO,123,75,611062.5,32,24,148028,4/26/2019
OTHER,OTHER,0,0,0,0,0,0,4/26/2019
NON-AGENCY CMO,P&I,114,62,97352.8,474,166,169316.8,4/29/2019
NON-AGENCY CMO,IO/PO,0,0,0,6,1,546.5,4/29/2019
NON-AGENCY CMBS,P&I,210,148,688266.7,19,12,148501.4,4/29/2019
NON-AGENCY CMBS,IO/PO,8,4,191035.6,*,*,*,4/29/2019
AGENCY CMBS,P&I,59,33,96011.6,105,75,415627.4,4/29/2019
AGENCY CMBS,IO/PO,0,0,0,9,6,480064.5,4/29/2019
AGENCY CMBS,ABS,360,250,488457,50,36,77244.2,4/29/2019
CBO/CDO/CLO,CBO/CDO/CLO,95,62,291239.6,38,24,140587.2,4/29/2019
OTHER,OTHER,0,0,0,0,0,0,4/29/2019
NON-AGENCY CMO,P&I,130,81,67928.9,466,174,196862,4/30/2019
NON-AGENCY CMO,IO/PO,0,0,0,11,6,427550.4,4/30/2019
NON-AGENCY CMBS,P&I,249,176,881685.2,30,19,150469,4/30/2019
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,4/30/2019
AGENCY CMBS,P&I,46,32,199753,120,83,499116.6,4/30/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,4/30/2019
AGENCY CMBS,ABS,498,315,1029300.3,44,30,96455,4/30/2019
CBO/CDO/CLO,CBO/CDO/CLO,97,69,350749.3,55,38,147221.2,4/30/2019
OTHER,OTHER,*,*,*,*,*,*,4/30/2019
