Mortgage Type,ARM / Seasoned,3/1,5/1,7/1,10/1,Measure,Agency,Date
ARMS/HYBRIDS,102.2,0,101.3,101.1,*,WEIGHTED AVG. PRICE,FNMA,01/04/2019
ARMS/HYBRIDS,95.4,0,101.1,100.6,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/04/2019
ARMS/HYBRIDS,*,0,*,100.5,*,2ND QUARTILE PRICE,FNMA,01/04/2019
ARMS/HYBRIDS,*,0,*,101.1,*,3RD QUARTILE PRICE,FNMA,01/04/2019
ARMS/HYBRIDS,*,0,*,102,*,4TH QUARTILE PRICE,FNMA,01/04/2019
ARMS/HYBRIDS,95.4,0,101.1,101.4,*,AVG. PRICE TOP 5 TRADES,FNMA,01/04/2019
ARMS/HYBRIDS,11.7,0,0.8,0.7,*,STANDARD DEVIATION,FNMA,01/04/2019
ARMS/HYBRIDS,4871.6,0,19995.5,39724.2,*,VOLUME OF TRADES (000'S),FNMA,01/04/2019
ARMS/HYBRIDS,5,0,5,8,*,NUMBER OF TRADES,FNMA,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,AVERAGE PRICE,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,WEIGHTED AVG. PRICE,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,2ND QUARTILE PRICE,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,3RD QUARTILE PRICE,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,4TH QUARTILE PRICE,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,STANDARD DEVIATION,FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,VOLUME OF TRADES (000'S),FHLMC,01/04/2019
ARMS/HYBRIDS,*,0,*,*,0,NUMBER OF TRADES,FHLMC,01/04/2019
ARMS/HYBRIDS,100.1,*,101.5,0,0,AVERAGE PRICE,GNMA,01/04/2019
ARMS/HYBRIDS,102.5,*,102.4,0,0,WEIGHTED AVG. PRICE,GNMA,01/04/2019
ARMS/HYBRIDS,99.3,*,99.3,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/04/2019
ARMS/HYBRIDS,102.2,*,100,0,0,2ND QUARTILE PRICE,GNMA,01/04/2019
ARMS/HYBRIDS,102.5,*,102.5,0,0,3RD QUARTILE PRICE,GNMA,01/04/2019
ARMS/HYBRIDS,102.6,*,102.7,0,0,4TH QUARTILE PRICE,GNMA,01/04/2019
ARMS/HYBRIDS,102.6,*,102.7,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/04/2019
ARMS/HYBRIDS,6,*,1.6,0,0,STANDARD DEVIATION,GNMA,01/04/2019
ARMS/HYBRIDS,2511.9,*,98919.8,0,0,VOLUME OF TRADES (000'S),GNMA,01/04/2019
ARMS/HYBRIDS,21,*,23,0,0,NUMBER OF TRADES,GNMA,01/04/2019
ARMS/HYBRIDS,98.2,0,100.7,100.2,101.8,AVERAGE PRICE,FNMA,01/07/2019
ARMS/HYBRIDS,103.7,0,101,100.6,102.1,WEIGHTED AVG. PRICE,FNMA,01/07/2019
ARMS/HYBRIDS,91.7,0,99.6,99.3,101.8,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/07/2019
ARMS/HYBRIDS,102.7,0,99.7,99.7,*,2ND QUARTILE PRICE,FNMA,01/07/2019
ARMS/HYBRIDS,103.7,0,101.1,100.2,*,3RD QUARTILE PRICE,FNMA,01/07/2019
ARMS/HYBRIDS,104,0,101.2,101.7,*,4TH QUARTILE PRICE,FNMA,01/07/2019
ARMS/HYBRIDS,104,0,101.7,101,101.8,AVG. PRICE TOP 5 TRADES,FNMA,01/07/2019
ARMS/HYBRIDS,9.5,0,1.3,1.1,2.1,STANDARD DEVIATION,FNMA,01/07/2019
ARMS/HYBRIDS,13860.4,0,32582.9,6642.5,6803.9,VOLUME OF TRADES (000'S),FNMA,01/07/2019
ARMS/HYBRIDS,15,0,12,11,5,NUMBER OF TRADES,FNMA,01/07/2019
ARMS/HYBRIDS,103.8,0,*,*,0,AVERAGE PRICE,FHLMC,01/07/2019
ARMS/HYBRIDS,103.7,0,*,*,0,WEIGHTED AVG. PRICE,FHLMC,01/07/2019
ARMS/HYBRIDS,103.8,0,*,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/07/2019
ARMS/HYBRIDS,*,0,*,*,0,2ND QUARTILE PRICE,FHLMC,01/07/2019
ARMS/HYBRIDS,*,0,*,*,0,3RD QUARTILE PRICE,FHLMC,01/07/2019
ARMS/HYBRIDS,*,0,*,*,0,4TH QUARTILE PRICE,FHLMC,01/07/2019
ARMS/HYBRIDS,103.8,0,*,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/07/2019
ARMS/HYBRIDS,0.2,0,*,*,0,STANDARD DEVIATION,FHLMC,01/07/2019
ARMS/HYBRIDS,3006.1,0,*,*,0,VOLUME OF TRADES (000'S),FHLMC,01/07/2019
ARMS/HYBRIDS,5,0,*,*,0,NUMBER OF TRADES,FHLMC,01/07/2019
ARMS/HYBRIDS,0,0,101.6,0,0,AVERAGE PRICE,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,101.7,0,0,WEIGHTED AVG. PRICE,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,100.6,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,101.4,0,0,2ND QUARTILE PRICE,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,102,0,0,3RD QUARTILE PRICE,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,102.4,0,0,4TH QUARTILE PRICE,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,102.4,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,1,0,0,STANDARD DEVIATION,GNMA,01/07/2019
ARMS/HYBRIDS,0,0,27633.6,0,0,VOLUME OF TRADES (000'S),GNMA,01/07/2019
ARMS/HYBRIDS,0,0,13,0,0,NUMBER OF TRADES,GNMA,01/07/2019
ARMS/HYBRIDS,102.3,0,*,*,*,AVERAGE PRICE,FNMA,01/08/2019
ARMS/HYBRIDS,103.6,0,*,*,*,WEIGHTED AVG. PRICE,FNMA,01/08/2019
ARMS/HYBRIDS,101.4,0,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/08/2019
ARMS/HYBRIDS,102,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/08/2019
ARMS/HYBRIDS,103,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/08/2019
ARMS/HYBRIDS,104,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/08/2019
ARMS/HYBRIDS,103.3,0,*,*,*,AVG. PRICE TOP 5 TRADES,FNMA,01/08/2019
ARMS/HYBRIDS,1.6,0,*,*,*,STANDARD DEVIATION,FNMA,01/08/2019
ARMS/HYBRIDS,1942,0,*,*,*,VOLUME OF TRADES (000'S),FNMA,01/08/2019
ARMS/HYBRIDS,8,0,*,*,*,NUMBER OF TRADES,FNMA,01/08/2019
ARMS/HYBRIDS,101.8,0,0,0,0,AVERAGE PRICE,FHLMC,01/08/2019
ARMS/HYBRIDS,103.5,0,0,0,0,WEIGHTED AVG. PRICE,FHLMC,01/08/2019
ARMS/HYBRIDS,101.2,0,0,0,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/08/2019
ARMS/HYBRIDS,101.7,0,0,0,0,2ND QUARTILE PRICE,FHLMC,01/08/2019
ARMS/HYBRIDS,102,0,0,0,0,3RD QUARTILE PRICE,FHLMC,01/08/2019
ARMS/HYBRIDS,103.5,0,0,0,0,4TH QUARTILE PRICE,FHLMC,01/08/2019
ARMS/HYBRIDS,102.9,0,0,0,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/08/2019
ARMS/HYBRIDS,1.8,0,0,0,0,STANDARD DEVIATION,FHLMC,01/08/2019
ARMS/HYBRIDS,3097.2,0,0,0,0,VOLUME OF TRADES (000'S),FHLMC,01/08/2019
ARMS/HYBRIDS,8,0,0,0,0,NUMBER OF TRADES,FHLMC,01/08/2019
ARMS/HYBRIDS,0,0,100.9,0,0,AVERAGE PRICE,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,101.5,0,0,WEIGHTED AVG. PRICE,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,100.9,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,*,0,0,2ND QUARTILE PRICE,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,*,0,0,3RD QUARTILE PRICE,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,*,0,0,4TH QUARTILE PRICE,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,100.9,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,1.4,0,0,STANDARD DEVIATION,GNMA,01/08/2019
ARMS/HYBRIDS,0,0,25637.5,0,0,VOLUME OF TRADES (000'S),GNMA,01/08/2019
ARMS/HYBRIDS,0,0,5,0,0,NUMBER OF TRADES,GNMA,01/08/2019
ARMS/HYBRIDS,101.2,0,101,*,*,AVERAGE PRICE,FNMA,01/09/2019
ARMS/HYBRIDS,101.9,0,100.8,*,*,WEIGHTED AVG. PRICE,FNMA,01/09/2019
ARMS/HYBRIDS,100.7,0,101,*,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/09/2019
ARMS/HYBRIDS,100.5,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/09/2019
ARMS/HYBRIDS,101.5,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/09/2019
ARMS/HYBRIDS,102.8,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/09/2019
ARMS/HYBRIDS,102.1,0,101,*,*,AVG. PRICE TOP 5 TRADES,FNMA,01/09/2019
ARMS/HYBRIDS,1.1,0,1.6,*,*,STANDARD DEVIATION,FNMA,01/09/2019
ARMS/HYBRIDS,1600.8,0,11527.9,*,*,VOLUME OF TRADES (000'S),FNMA,01/09/2019
ARMS/HYBRIDS,10,0,6,*,*,NUMBER OF TRADES,FNMA,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,AVERAGE PRICE,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,WEIGHTED AVG. PRICE,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,2ND QUARTILE PRICE,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,3RD QUARTILE PRICE,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,4TH QUARTILE PRICE,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,STANDARD DEVIATION,FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,VOLUME OF TRADES (000'S),FHLMC,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,NUMBER OF TRADES,FHLMC,01/09/2019
ARMS/HYBRIDS,90.7,0,100.7,0,0,AVERAGE PRICE,GNMA,01/09/2019
