Mortgage Type,ARM / Seasoned,3/1,5/1,7/1,10/1,Measure,Agency,Date
ARMS/HYBRIDS,*,0,101.4,0,0,3RD QUARTILE PRICE,GNMA,01/14/2019
ARMS/HYBRIDS,*,0,102.5,0,0,4TH QUARTILE PRICE,GNMA,01/14/2019
ARMS/HYBRIDS,101.2,0,101.5,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/14/2019
ARMS/HYBRIDS,0.8,0,1.1,0,0,STANDARD DEVIATION,GNMA,01/14/2019
ARMS/HYBRIDS,640.3,0,10039.6,0,0,VOLUME OF TRADES (000'S),GNMA,01/14/2019
ARMS/HYBRIDS,91,0,7,0,0,NUMBER OF TRADES,GNMA,01/14/2019
ARMS/HYBRIDS,*,0,100,100.9,100.9,AVERAGE PRICE,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,100.7,101.8,101.2,WEIGHTED AVG. PRICE,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,99.7,99.8,100.7,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,99.5,100.2,101,2ND QUARTILE PRICE,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,99.6,101.5,101.9,3RD QUARTILE PRICE,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,101.5,102,102.3,4TH QUARTILE PRICE,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,100.1,101.9,101.5,AVG. PRICE TOP 5 TRADES,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,1,1,1.4,STANDARD DEVIATION,FNMA,01/15/2019
ARMS/HYBRIDS,*,0,2823.6,66709.1,18534.7,VOLUME OF TRADES (000'S),FNMA,01/15/2019
ARMS/HYBRIDS,*,0,7,15,6,NUMBER OF TRADES,FNMA,01/15/2019
ARMS/HYBRIDS,101.8,0,*,*,0,AVERAGE PRICE,FHLMC,01/15/2019
ARMS/HYBRIDS,102.2,0,*,*,0,WEIGHTED AVG. PRICE,FHLMC,01/15/2019
ARMS/HYBRIDS,101.1,0,*,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/15/2019
ARMS/HYBRIDS,101.1,0,*,*,0,2ND QUARTILE PRICE,FHLMC,01/15/2019
ARMS/HYBRIDS,102.2,0,*,*,0,3RD QUARTILE PRICE,FHLMC,01/15/2019
ARMS/HYBRIDS,103.3,0,*,*,0,4TH QUARTILE PRICE,FHLMC,01/15/2019
ARMS/HYBRIDS,102.4,0,*,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/15/2019
ARMS/HYBRIDS,1.4,0,*,*,0,STANDARD DEVIATION,FHLMC,01/15/2019
ARMS/HYBRIDS,376.5,0,*,*,0,VOLUME OF TRADES (000'S),FHLMC,01/15/2019
ARMS/HYBRIDS,7,0,*,*,0,NUMBER OF TRADES,FHLMC,01/15/2019
ARMS/HYBRIDS,101.7,0,100.2,0,0,AVERAGE PRICE,GNMA,01/15/2019
ARMS/HYBRIDS,102.1,0,100.5,0,0,WEIGHTED AVG. PRICE,GNMA,01/15/2019
ARMS/HYBRIDS,100.8,0,98.8,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/15/2019
ARMS/HYBRIDS,101.3,0,99.8,0,0,2ND QUARTILE PRICE,GNMA,01/15/2019
ARMS/HYBRIDS,102.3,0,100.1,0,0,3RD QUARTILE PRICE,GNMA,01/15/2019
ARMS/HYBRIDS,102.8,0,101.3,0,0,4TH QUARTILE PRICE,GNMA,01/15/2019
ARMS/HYBRIDS,102.5,0,101.8,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/15/2019
ARMS/HYBRIDS,1,0,1.6,0,0,STANDARD DEVIATION,GNMA,01/15/2019
ARMS/HYBRIDS,3742.8,0,24680.6,0,0,VOLUME OF TRADES (000'S),GNMA,01/15/2019
ARMS/HYBRIDS,11,0,13,0,0,NUMBER OF TRADES,GNMA,01/15/2019
ARMS/HYBRIDS,*,0,101.7,100.6,*,AVERAGE PRICE,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,101.9,101,*,WEIGHTED AVG. PRICE,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,101.7,100.1,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,*,100.3,*,2ND QUARTILE PRICE,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,*,100.5,*,3RD QUARTILE PRICE,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,*,101.7,*,4TH QUARTILE PRICE,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,101.7,101.1,*,AVG. PRICE TOP 5 TRADES,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,0.3,0.8,*,STANDARD DEVIATION,FNMA,01/16/2019
ARMS/HYBRIDS,*,0,64567.7,129483,*,VOLUME OF TRADES (000'S),FNMA,01/16/2019
ARMS/HYBRIDS,*,0,5,9,*,NUMBER OF TRADES,FNMA,01/16/2019
ARMS/HYBRIDS,102.8,0,0,100.3,99.3,AVERAGE PRICE,FHLMC,01/16/2019
ARMS/HYBRIDS,104.9,0,0,100.3,98.8,WEIGHTED AVG. PRICE,FHLMC,01/16/2019
ARMS/HYBRIDS,101.3,0,0,100.3,99.3,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/16/2019
ARMS/HYBRIDS,102.5,0,0,*,*,2ND QUARTILE PRICE,FHLMC,01/16/2019
ARMS/HYBRIDS,103.3,0,0,*,*,3RD QUARTILE PRICE,FHLMC,01/16/2019
ARMS/HYBRIDS,105.6,0,0,*,*,4TH QUARTILE PRICE,FHLMC,01/16/2019
ARMS/HYBRIDS,104.3,0,0,100.3,99.3,AVG. PRICE TOP 5 TRADES,FHLMC,01/16/2019
ARMS/HYBRIDS,2,0,0,0,0.9,STANDARD DEVIATION,FHLMC,01/16/2019
ARMS/HYBRIDS,1977.4,0,0,151652.5,136494.7,VOLUME OF TRADES (000'S),FHLMC,01/16/2019
ARMS/HYBRIDS,10,0,0,12,8,NUMBER OF TRADES,FHLMC,01/16/2019
ARMS/HYBRIDS,98.1,0,101.5,0,0,AVERAGE PRICE,GNMA,01/16/2019
ARMS/HYBRIDS,102.1,0,101.6,0,0,WEIGHTED AVG. PRICE,GNMA,01/16/2019
ARMS/HYBRIDS,96.1,0,100.9,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/16/2019
ARMS/HYBRIDS,101,0,101.3,0,0,2ND QUARTILE PRICE,GNMA,01/16/2019
ARMS/HYBRIDS,101.9,0,101.9,0,0,3RD QUARTILE PRICE,GNMA,01/16/2019
ARMS/HYBRIDS,102.3,0,102.5,0,0,4TH QUARTILE PRICE,GNMA,01/16/2019
ARMS/HYBRIDS,102,0,102.1,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/16/2019
ARMS/HYBRIDS,9.4,0,1.1,0,0,STANDARD DEVIATION,GNMA,01/16/2019
ARMS/HYBRIDS,1251.8,0,28945.2,0,0,VOLUME OF TRADES (000'S),GNMA,01/16/2019
ARMS/HYBRIDS,15,0,8,0,0,NUMBER OF TRADES,GNMA,01/16/2019
ARMS/HYBRIDS,103.1,0,101.6,101,100.5,AVERAGE PRICE,FNMA,01/17/2019
ARMS/HYBRIDS,103.5,0,101.6,101.6,101.4,WEIGHTED AVG. PRICE,FNMA,01/17/2019
ARMS/HYBRIDS,102.4,0,101.5,100.6,100.5,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/17/2019
ARMS/HYBRIDS,103,0,101.4,100,*,2ND QUARTILE PRICE,FNMA,01/17/2019
ARMS/HYBRIDS,103.1,0,101.8,102.1,*,3RD QUARTILE PRICE,FNMA,01/17/2019
ARMS/HYBRIDS,104.3,0,102.1,103.3,*,4TH QUARTILE PRICE,FNMA,01/17/2019
ARMS/HYBRIDS,104.1,0,101.8,101.4,100.5,AVG. PRICE TOP 5 TRADES,FNMA,01/17/2019
ARMS/HYBRIDS,1,0,0.4,1.6,1.4,STANDARD DEVIATION,FNMA,01/17/2019
ARMS/HYBRIDS,17096.4,0,27006.4,13010.5,10424.2,VOLUME OF TRADES (000'S),FNMA,01/17/2019
ARMS/HYBRIDS,16,0,7,6,5,NUMBER OF TRADES,FNMA,01/17/2019
ARMS/HYBRIDS,103.7,0,100.7,*,*,AVERAGE PRICE,FHLMC,01/17/2019
ARMS/HYBRIDS,103.9,0,100.8,*,*,WEIGHTED AVG. PRICE,FHLMC,01/17/2019
ARMS/HYBRIDS,103.4,0,100.7,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/17/2019
ARMS/HYBRIDS,103.6,0,*,*,*,2ND QUARTILE PRICE,FHLMC,01/17/2019
ARMS/HYBRIDS,103.8,0,*,*,*,3RD QUARTILE PRICE,FHLMC,01/17/2019
ARMS/HYBRIDS,104,0,*,*,*,4TH QUARTILE PRICE,FHLMC,01/17/2019
ARMS/HYBRIDS,104,0,100.7,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/17/2019
ARMS/HYBRIDS,0.5,0,0.8,*,*,STANDARD DEVIATION,FHLMC,01/17/2019
ARMS/HYBRIDS,4381.4,0,81605.9,*,*,VOLUME OF TRADES (000'S),FHLMC,01/17/2019
ARMS/HYBRIDS,9,0,5,*,*,NUMBER OF TRADES,FHLMC,01/17/2019
ARMS/HYBRIDS,*,0,101.1,0,0,AVERAGE PRICE,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,101.9,0,0,WEIGHTED AVG. PRICE,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,99.9,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,100,0,0,2ND QUARTILE PRICE,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,101.3,0,0,3RD QUARTILE PRICE,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,102.4,0,0,4TH QUARTILE PRICE,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,102.3,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,1,0,0,STANDARD DEVIATION,GNMA,01/17/2019
ARMS/HYBRIDS,*,0,205299.8,0,0,VOLUME OF TRADES (000'S),GNMA,01/17/2019
ARMS/HYBRIDS,*,0,20,0,0,NUMBER OF TRADES,GNMA,01/17/2019
ARMS/HYBRIDS,103.8,0,103.1,101.4,101.8,AVERAGE PRICE,FNMA,01/18/2019
ARMS/HYBRIDS,103.7,0,102.5,100.9,101.4,WEIGHTED AVG. PRICE,FNMA,01/18/2019
ARMS/HYBRIDS,101.7,0,103.1,100.1,100.1,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/18/2019
ARMS/HYBRIDS,103.9,0,*,100.4,101.1,2ND QUARTILE PRICE,FNMA,01/18/2019
ARMS/HYBRIDS,103.9,0,*,101.7,102,3RD QUARTILE PRICE,FNMA,01/18/2019
ARMS/HYBRIDS,103.9,0,*,102,103.9,4TH QUARTILE PRICE,FNMA,01/18/2019
ARMS/HYBRIDS,103.8,0,103.1,102.6,102.9,AVG. PRICE TOP 5 TRADES,FNMA,01/18/2019
ARMS/HYBRIDS,0.3,0,1.3,1.3,1.7,STANDARD DEVIATION,FNMA,01/18/2019
ARMS/HYBRIDS,39981.2,0,11410,72319.6,70400,VOLUME OF TRADES (000'S),FNMA,01/18/2019
ARMS/HYBRIDS,379,0,10,16,13,NUMBER OF TRADES,FNMA,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,AVERAGE PRICE,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,WEIGHTED AVG. PRICE,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,2ND QUARTILE PRICE,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,3RD QUARTILE PRICE,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,4TH QUARTILE PRICE,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,STANDARD DEVIATION,FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,VOLUME OF TRADES (000'S),FHLMC,01/18/2019
ARMS/HYBRIDS,*,0,*,*,*,NUMBER OF TRADES,FHLMC,01/18/2019
ARMS/HYBRIDS,*,99.3,100.7,0,0,AVERAGE PRICE,GNMA,01/18/2019
ARMS/HYBRIDS,*,99.2,101,0,0,WEIGHTED AVG. PRICE,GNMA,01/18/2019
ARMS/HYBRIDS,*,99.3,98.7,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/18/2019
ARMS/HYBRIDS,*,*,99.8,0,0,2ND QUARTILE PRICE,GNMA,01/18/2019
ARMS/HYBRIDS,*,*,101.2,0,0,3RD QUARTILE PRICE,GNMA,01/18/2019
ARMS/HYBRIDS,*,*,102.3,0,0,4TH QUARTILE PRICE,GNMA,01/18/2019
ARMS/HYBRIDS,*,99.3,102.3,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/18/2019
ARMS/HYBRIDS,*,0.2,1.7,0,0,STANDARD DEVIATION,GNMA,01/18/2019
ARMS/HYBRIDS,*,1421.6,41058.4,0,0,VOLUME OF TRADES (000'S),GNMA,01/18/2019
ARMS/HYBRIDS,*,6,16,0,0,NUMBER OF TRADES,GNMA,01/18/2019
ARMS/HYBRIDS,*,0,*,*,100.3,AVERAGE PRICE,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,100.1,WEIGHTED AVG. PRICE,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,100.3,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,100.3,AVG. PRICE TOP 5 TRADES,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,0.5,STANDARD DEVIATION,FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,489497.1,VOLUME OF TRADES (000'S),FNMA,01/22/2019
ARMS/HYBRIDS,*,0,*,*,20,NUMBER OF TRADES,FNMA,01/22/2019
ARMS/HYBRIDS,104.3,*,102.6,100.8,100.8,AVERAGE PRICE,FHLMC,01/22/2019
ARMS/HYBRIDS,104.3,*,101.2,100.4,100.1,WEIGHTED AVG. PRICE,FHLMC,01/22/2019
ARMS/HYBRIDS,104.3,*,100.2,100.8,100.8,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/22/2019
ARMS/HYBRIDS,*,*,101.3,*,*,2ND QUARTILE PRICE,FHLMC,01/22/2019
ARMS/HYBRIDS,*,*,104.3,*,*,3RD QUARTILE PRICE,FHLMC,01/22/2019
ARMS/HYBRIDS,*,*,104.3,*,*,4TH QUARTILE PRICE,FHLMC,01/22/2019
ARMS/HYBRIDS,104.3,*,103.6,100.8,100.8,AVG. PRICE TOP 5 TRADES,FHLMC,01/22/2019
ARMS/HYBRIDS,0,*,1.8,1.4,1.6,STANDARD DEVIATION,FHLMC,01/22/2019
ARMS/HYBRIDS,63530,*,59157.8,101307.8,50119.3,VOLUME OF TRADES (000'S),FHLMC,01/22/2019
ARMS/HYBRIDS,421,*,28,23,19,NUMBER OF TRADES,FHLMC,01/22/2019
ARMS/HYBRIDS,0,0,101,0,0,AVERAGE PRICE,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,102,0,0,WEIGHTED AVG. PRICE,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,100.4,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,99.9,0,0,2ND QUARTILE PRICE,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,101.3,0,0,3RD QUARTILE PRICE,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,102.4,0,0,4TH QUARTILE PRICE,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,101.4,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,1.1,0,0,STANDARD DEVIATION,GNMA,01/22/2019
ARMS/HYBRIDS,0,0,24752.1,0,0,VOLUME OF TRADES (000'S),GNMA,01/22/2019
ARMS/HYBRIDS,0,0,7,0,0,NUMBER OF TRADES,GNMA,01/22/2019
ARMS/HYBRIDS,103,0,*,101,*,AVERAGE PRICE,FNMA,01/23/2019
ARMS/HYBRIDS,103,0,*,101.7,*,WEIGHTED AVG. PRICE,FNMA,01/23/2019
ARMS/HYBRIDS,102.4,0,*,100.6,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/23/2019
ARMS/HYBRIDS,103,0,*,100.5,*,2ND QUARTILE PRICE,FNMA,01/23/2019
ARMS/HYBRIDS,103,0,*,101.8,*,3RD QUARTILE PRICE,FNMA,01/23/2019
ARMS/HYBRIDS,103.1,0,*,102,*,4TH QUARTILE PRICE,FNMA,01/23/2019
ARMS/HYBRIDS,103.1,0,*,101.8,*,AVG. PRICE TOP 5 TRADES,FNMA,01/23/2019
ARMS/HYBRIDS,0.4,0,*,1,*,STANDARD DEVIATION,FNMA,01/23/2019
ARMS/HYBRIDS,11781.2,0,*,34163.7,*,VOLUME OF TRADES (000'S),FNMA,01/23/2019
ARMS/HYBRIDS,24,0,*,9,*,NUMBER OF TRADES,FNMA,01/23/2019
ARMS/HYBRIDS,0,0,100.9,*,0,AVERAGE PRICE,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,101.3,*,0,WEIGHTED AVG. PRICE,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,100.5,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,101.2,*,0,2ND QUARTILE PRICE,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,101.5,*,0,3RD QUARTILE PRICE,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,101.7,*,0,4TH QUARTILE PRICE,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,101.5,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,0.9,*,0,STANDARD DEVIATION,FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,30523.8,*,0,VOLUME OF TRADES (000'S),FHLMC,01/23/2019
ARMS/HYBRIDS,0,0,9,*,0,NUMBER OF TRADES,FHLMC,01/23/2019
ARMS/HYBRIDS,*,*,101.4,0,0,AVERAGE PRICE,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,100.9,0,0,WEIGHTED AVG. PRICE,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,100.6,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,101.3,0,0,2ND QUARTILE PRICE,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,102.2,0,0,3RD QUARTILE PRICE,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,102.4,0,0,4TH QUARTILE PRICE,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,102.3,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,1.1,0,0,STANDARD DEVIATION,GNMA,01/23/2019
ARMS/HYBRIDS,*,*,37879.1,0,0,VOLUME OF TRADES (000'S),GNMA,01/23/2019
ARMS/HYBRIDS,*,*,11,0,0,NUMBER OF TRADES,GNMA,01/23/2019
ARMS/HYBRIDS,97.9,0,*,*,102.1,AVERAGE PRICE,FNMA,01/24/2019
ARMS/HYBRIDS,100.6,0,*,*,102.1,WEIGHTED AVG. PRICE,FNMA,01/24/2019
ARMS/HYBRIDS,95.2,0,*,*,102.1,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/24/2019
ARMS/HYBRIDS,95,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/24/2019
ARMS/HYBRIDS,96,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/24/2019
ARMS/HYBRIDS,102.3,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/24/2019
ARMS/HYBRIDS,99.6,0,*,*,102.1,AVG. PRICE TOP 5 TRADES,FNMA,01/24/2019
ARMS/HYBRIDS,3.7,0,*,*,0.4,STANDARD DEVIATION,FNMA,01/24/2019
ARMS/HYBRIDS,66.8,0,*,*,86840.3,VOLUME OF TRADES (000'S),FNMA,01/24/2019
ARMS/HYBRIDS,8,0,*,*,5,NUMBER OF TRADES,FNMA,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,AVERAGE PRICE,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,WEIGHTED AVG. PRICE,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,2ND QUARTILE PRICE,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,3RD QUARTILE PRICE,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,4TH QUARTILE PRICE,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,STANDARD DEVIATION,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,VOLUME OF TRADES (000'S),FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,*,0,*,NUMBER OF TRADES,FHLMC,01/24/2019
ARMS/HYBRIDS,*,0,101.3,0,0,AVERAGE PRICE,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,101.4,0,0,WEIGHTED AVG. PRICE,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,101.3,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,*,0,0,2ND QUARTILE PRICE,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,*,0,0,3RD QUARTILE PRICE,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,*,0,0,4TH QUARTILE PRICE,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,101.3,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,0.1,0,0,STANDARD DEVIATION,GNMA,01/24/2019
ARMS/HYBRIDS,*,0,9688.8,0,0,VOLUME OF TRADES (000'S),GNMA,01/24/2019
ARMS/HYBRIDS,*,0,5,0,0,NUMBER OF TRADES,GNMA,01/24/2019
ARMS/HYBRIDS,103.3,0,*,*,78.5,AVERAGE PRICE,FNMA,01/25/2019
ARMS/HYBRIDS,103.6,0,*,*,101.6,WEIGHTED AVG. PRICE,FNMA,01/25/2019
ARMS/HYBRIDS,103.3,0,*,*,69.5,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/25/2019
ARMS/HYBRIDS,*,0,*,*,83.6,2ND QUARTILE PRICE,FNMA,01/25/2019
ARMS/HYBRIDS,*,0,*,*,99.9,3RD QUARTILE PRICE,FNMA,01/25/2019
ARMS/HYBRIDS,*,0,*,*,101.9,4TH QUARTILE PRICE,FNMA,01/25/2019
ARMS/HYBRIDS,103.3,0,*,*,94.1,AVG. PRICE TOP 5 TRADES,FNMA,01/25/2019
ARMS/HYBRIDS,0.8,0,*,*,27.7,STANDARD DEVIATION,FNMA,01/25/2019
ARMS/HYBRIDS,6030.9,0,*,*,27497.6,VOLUME OF TRADES (000'S),FNMA,01/25/2019
ARMS/HYBRIDS,25,0,*,*,7,NUMBER OF TRADES,FNMA,01/25/2019
ARMS/HYBRIDS,*,0,*,79.8,0,AVERAGE PRICE,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,100.1,0,WEIGHTED AVG. PRICE,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,79.8,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,*,0,2ND QUARTILE PRICE,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,*,0,3RD QUARTILE PRICE,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,*,0,4TH QUARTILE PRICE,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,79.8,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,27.9,0,STANDARD DEVIATION,FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,117005.2,0,VOLUME OF TRADES (000'S),FHLMC,01/25/2019
ARMS/HYBRIDS,*,0,*,5,0,NUMBER OF TRADES,FHLMC,01/25/2019
ARMS/HYBRIDS,102.6,*,101.9,0,0,AVERAGE PRICE,GNMA,01/25/2019
ARMS/HYBRIDS,102.7,*,102.4,0,0,WEIGHTED AVG. PRICE,GNMA,01/25/2019
ARMS/HYBRIDS,102.5,*,101.9,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/25/2019
ARMS/HYBRIDS,102.6,*,*,0,0,2ND QUARTILE PRICE,GNMA,01/25/2019
ARMS/HYBRIDS,102.7,*,*,0,0,3RD QUARTILE PRICE,GNMA,01/25/2019
ARMS/HYBRIDS,102.8,*,*,0,0,4TH QUARTILE PRICE,GNMA,01/25/2019
ARMS/HYBRIDS,102.7,*,101.9,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/25/2019
ARMS/HYBRIDS,0.2,*,0.7,0,0,STANDARD DEVIATION,GNMA,01/25/2019
ARMS/HYBRIDS,5494.1,*,3467.7,0,0,VOLUME OF TRADES (000'S),GNMA,01/25/2019
ARMS/HYBRIDS,9,*,5,0,0,NUMBER OF TRADES,GNMA,01/25/2019
ARMS/HYBRIDS,103.6,0,*,*,101.6,AVERAGE PRICE,FNMA,01/28/2019
ARMS/HYBRIDS,103.7,0,*,*,101.3,WEIGHTED AVG. PRICE,FNMA,01/28/2019
ARMS/HYBRIDS,100.2,0,*,*,101.3,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/28/2019
ARMS/HYBRIDS,103.7,0,*,*,101.5,2ND QUARTILE PRICE,FNMA,01/28/2019
ARMS/HYBRIDS,103.9,0,*,*,101.9,3RD QUARTILE PRICE,FNMA,01/28/2019
ARMS/HYBRIDS,104.1,0,*,*,101.9,4TH QUARTILE PRICE,FNMA,01/28/2019
ARMS/HYBRIDS,104.2,0,*,*,102,AVG. PRICE TOP 5 TRADES,FNMA,01/28/2019
ARMS/HYBRIDS,1.6,0,*,*,0.4,STANDARD DEVIATION,FNMA,01/28/2019
ARMS/HYBRIDS,159810.2,0,*,*,53106.2,VOLUME OF TRADES (000'S),FNMA,01/28/2019
ARMS/HYBRIDS,51,0,*,*,13,NUMBER OF TRADES,FNMA,01/28/2019
ARMS/HYBRIDS,102.2,0,103,0,0,AVERAGE PRICE,FHLMC,01/28/2019
ARMS/HYBRIDS,103.5,0,103.9,0,0,WEIGHTED AVG. PRICE,FHLMC,01/28/2019
ARMS/HYBRIDS,100.6,0,103,0,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/28/2019
ARMS/HYBRIDS,103,0,*,0,0,2ND QUARTILE PRICE,FHLMC,01/28/2019
ARMS/HYBRIDS,103.5,0,*,0,0,3RD QUARTILE PRICE,FHLMC,01/28/2019
ARMS/HYBRIDS,104.1,0,*,0,0,4TH QUARTILE PRICE,FHLMC,01/28/2019
