Agency,Measure,<=2.5,3,3.5,4,4.5,5,>5.0,SettlementMonth,AssetClassType,AssetClassSubType,Date,SettlementDateChart
FNMA/UMBS,WEIGHTED AVG. PRICE,100.4,101.9,103.2,104,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,99.7,101.7,103.1,103.8,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,2ND QUARTILE PRICE,100.4,101.8,103.2,103.8,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,3RD QUARTILE PRICE,100.5,101.9,103.2,103.8,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,4TH QUARTILE PRICE,100.5,101.9,103.2,103.9,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,100.5,101.9,103.3,103.9,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,STANDARD DEVIATION,0.4,0.1,0,0.1,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,VOLUME OF TRADES (000'S),838947,2632181.0,1793055,219113,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,NUMBER OF TRADES,53,102.0,58,8,*,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,AVERAGE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,AVERAGE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,STANDARD DEVIATION,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
GNMA,NUMBER OF TRADES,0,0.0,0,0,0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 1
FNMA/UMBS,AVERAGE PRICE,100.4,101.8,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,WEIGHTED AVG. PRICE,100.4,101.8,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,100.3,101.7,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,2ND QUARTILE PRICE,100.4,101.8,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,3RD QUARTILE PRICE,100.4,101.8,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,4TH QUARTILE PRICE,100.4,101.8,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,100.5,101.9,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,STANDARD DEVIATION,0.1,0.1,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,VOLUME OF TRADES (000'S),157600,155200.0,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,NUMBER OF TRADES,31,34.0,*,*,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,AVERAGE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,AVERAGE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,STANDARD DEVIATION,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
GNMA,NUMBER OF TRADES,0,0.0,0,0,0,0,0,September,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 2
FNMA/UMBS,AVERAGE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,STANDARD DEVIATION,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,NUMBER OF TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,AVERAGE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,AVERAGE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,WEIGHTED AVG. PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,2ND QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,3RD QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,4TH QUARTILE PRICE,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,STANDARD DEVIATION,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,VOLUME OF TRADES (000'S),0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
GNMA,NUMBER OF TRADES,0,0.0,0,0,0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190710,Current Month + 3
FNMA/UMBS,AVERAGE PRICE,98.8,100.7,102.3,103.5,104.6,105.8,107,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,WEIGHTED AVG. PRICE,98.8,100.7,102.3,103.4,104.6,105.8,106.9,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,98.7,100.4,102,103.3,104.5,105.6,106.6,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,2ND QUARTILE PRICE,98.8,100.7,102.3,103.4,104.6,105.8,106.7,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,3RD QUARTILE PRICE,98.8,100.7,102.3,103.5,104.6,105.8,106.9,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,4TH QUARTILE PRICE,98.8,100.8,102.3,103.5,104.7,105.9,106.9,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,99,101.1,102.7,103.6,104.7,106,107.3,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,STANDARD DEVIATION,0.1,0.1,0.1,0.1,0.1,0.1,0.8,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,VOLUME OF TRADES (000'S),814488.2,48880849.5,48655615,36833569.6,25988220.4,4691114.6,529020.3,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,NUMBER OF TRADES,73,1494.0,2027,1858,1451,359,37,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,AVERAGE PRICE,0,100.7,102.3,103.5,0,105.9,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,WEIGHTED AVG. PRICE,0,100.8,102.3,103.5,0,105.9,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,100.7,102.3,103.5,0,105.9,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,2ND QUARTILE PRICE,0,100.8,102.3,*,0,*,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,3RD QUARTILE PRICE,0,100.8,102.3,*,0,*,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,4TH QUARTILE PRICE,0,100.8,102.3,*,0,*,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,AVG. PRICE TOP 5 TRADES,0,100.8,102.4,103.5,0,105.9,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,STANDARD DEVIATION,0,0.1,0,0,0,0,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,VOLUME OF TRADES (000'S),0,505589.0,990957,94745,0,128325,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FHLMC,NUMBER OF TRADES,0,16.0,12,5,0,7,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,AVERAGE PRICE,100,102.0,103.3,103.8,104.3,104.6,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,WEIGHTED AVG. PRICE,100.1,101.9,103.3,103.7,104.3,104.5,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,AVG. PRICE BOTTOM 5 TRADES,100,101.9,102.8,103.6,104.1,104.4,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,2ND QUARTILE PRICE,100,101.9,103.3,103.7,104.2,104.5,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,3RD QUARTILE PRICE,100.1,101.9,103.3,103.8,104.3,104.5,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,4TH QUARTILE PRICE,100.1,102.0,103.3,103.8,104.3,104.5,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,AVG. PRICE TOP 5 TRADES,100.1,102.1,103.9,106.6,105.3,105.8,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,STANDARD DEVIATION,0.1,0.1,0.1,0.5,0.2,0.4,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,VOLUME OF TRADES (000'S),42767.4,5343144.1,4780614.9,5916099.7,2903292.2,1220295.8,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
GNMA,NUMBER OF TRADES,8,196.0,232,239,141,75,*,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month
FNMA/UMBS,AVERAGE PRICE,98.7,100.7,102.3,103.5,104.6,105.8,107,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,WEIGHTED AVG. PRICE,98.7,100.7,102.2,103.4,104.6,105.8,107,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,98.7,100.4,102,103.3,104.5,105.6,106.7,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,2ND QUARTILE PRICE,98.7,100.7,102.2,103.4,104.6,105.7,106.8,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,3RD QUARTILE PRICE,98.7,100.7,102.3,103.5,104.6,105.8,107,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,4TH QUARTILE PRICE,98.7,100.7,102.3,103.5,104.7,105.8,107,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,98.8,100.9,102.3,103.5,104.7,105.9,107.3,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,STANDARD DEVIATION,0,0.1,0.1,0.1,0,0.1,0.7,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,VOLUME OF TRADES (000'S),660527.9,49248265.5,37555560.7,26381402,18346679.9,3394896.8,519335,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FNMA/UMBS,NUMBER OF TRADES,46,697.0,701,585,478,165,31,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,AVERAGE PRICE,0,100.8,102.3,103.5,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,WEIGHTED AVG. PRICE,0,100.8,102.3,103.5,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,100.7,102.3,103.5,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,2ND QUARTILE PRICE,0,100.8,*,*,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,3RD QUARTILE PRICE,0,100.8,*,*,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,4TH QUARTILE PRICE,0,100.8,*,*,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,AVG. PRICE TOP 5 TRADES,0,100.8,102.3,103.5,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,STANDARD DEVIATION,0,0.0,0.1,0,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
FHLMC,VOLUME OF TRADES (000'S),0,485589.0,418000,109045,0,*,*,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190710,Current Month + 1
